atlas_tool,source_requirement,ui_field_or_output,code_function,source_type,delphi_statement_id,ccrf_element_or_domain,mapping_strength,implementation_role,evidence_detected,evidence_alias_hits,evidence_line_or_count,notes
Cohort Design Gap Radar,Treatment exposure,treatment_exposure,buildAtlasGaps; cohortDesignGapGridHtml; cohortGapTextForRequirement,Delphi+CCRF+PubMed,S29-S40; S45-S52,Conservative/surgical treatment exposure fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,4,LipoScope.html:11233; LipoScope.html:13318; LipoScope.html:13272,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Design Gap Radar,Outcomes and follow-up,outcomes_followup,buildAtlasGaps; cohortDesignGapGridHtml; cohortGapTextForRequirement,Delphi+CCRF+PubMed,S29-S40; S45-S52,Outcomes / follow-up / adverse event fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,8,LipoScope.html:11233; LipoScope.html:13318; LipoScope.html:13272,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Design Gap Radar,Family history and genetics,family_genetics,buildAtlasGaps; cohortDesignGapGridHtml; cohortGapTextForRequirement,Delphi+CCRF+PubMed,S53-S59,Family history / genetics study fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:11233; LipoScope.html:13318; LipoScope.html:13272,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Design Gap Radar,Biomarkers and omics,biomarkers_omics,buildAtlasGaps; cohortDesignGapGridHtml; cohortGapTextForRequirement,Delphi+CCRF+PubMed,S53-S59,Biomarker/omics/specimen metadata fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,7,LipoScope.html:11233; LipoScope.html:13318; LipoScope.html:13272,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Cohort Design Gap Radar,Future validation and reproducibility needs,future_validation,buildAtlasGaps; cohortDesignGapGridHtml; cohortGapTextForRequirement,Delphi+CCRF+PubMed,S53-S59,Study-specific / validation / exploratory fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,9,LipoScope.html:11233; LipoScope.html:13318; LipoScope.html:13272,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Case definition,case_definition,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S1-S8; S41-S44,Diagnosis source / case-definition fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,6,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Symptoms,symptoms,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S1-S8,Core symptom and history fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,7,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Phenotype distribution,phenotype_distribution,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S1-S8,Phenotype distribution / body-region fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,7,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Pain and tenderness,pain_tenderness,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S1-S8; S45-S52,Pain score / symptom severity fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,5,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Bruising and heaviness,bruising_heaviness,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S1-S8,Symptom signs / bruising-heaviness fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,2,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Stage and severity,stage_severity,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S1-S8; S45-S52,Stage / severity / phenotype grade fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,4,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Anthropometry and body composition,anthropometry,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S9-S18; S41-S44,"Height, weight, BMI, waist, hip, limb measures",Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,8,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Oedema/fluid and lymphatic overlap,fluid_overlap,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S9-S18; S19-S28,Fluid/lymphatic assessment and overlap fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,9,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Nodularity and fibrosis,nodularity_fibrosis,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S9-S18; S29-S40,Tissue texture / fibrosis / imaging fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,5,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Differential diagnosis,differential_diagnosis,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S19-S28; S41-S44,Differential review fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,7,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Comorbidities and overlap conditions,comorbidities,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S19-S28; S45-S52,Comorbidity / overlap-condition fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,6,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Comparator strategy,comparator_strategy,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S41-S44; S53-S59,Comparator / control-group planning fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,1,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Treatment exposure,treatment_exposure,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S29-S40; S45-S52,Conservative/surgical treatment exposure fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,6,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Outcomes and follow-up,outcomes_followup,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S29-S40; S45-S52,Outcomes / follow-up / adverse event fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,6,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Family history and genetics,family_genetics,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S53-S59,Family history / genetics study fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,8,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Biomarkers and omics,biomarkers_omics,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF,S53-S59,Biomarker/omics/specimen metadata fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,7,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Lipoedema Minimum Dataset Builder,Future validation and reproducibility needs,future_validation,ATLAS_DATASET_FIELDS; atlasDatasetRowsWithUse; atlasRedcapRows; atlasDatasetDelphiMapping; atlasDatasetCcrfClass; renderDatasetBuilder,Delphi+CCRF+PubMed,S53-S59,Study-specific / validation / exploratory fields,Operationalised,"Converted into a prompt, score, flag, export field, or gap-grid output",yes,9,LipoScope.html:13009; LipoScope.html:13460; LipoScope.html:13481; LipoScope.html:13397; LipoScope.html:13424; LipoScope.html:2230,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
